target_x,target_y,target_z,encoder_x,encoder_y,measured_x,measured_y,time,normalized_x,normalized_y,error_x,error_y,label,error_x_mag,error_y_mag
0,0,73,0,0,35.25,8.75,14.5,=F2-F$2,=G2-G$2,=I2-A2,=J2-B2,START,=ABS(K2),=ABS(L2)
459,194,0,459.01,193.99,=2*B24+64.25,203.75,46.1,=F3-F$2,=G3-G$2,=I3-A3,=J3-B3,STERILIZER,=ABS(K3),=ABS(L3)
33,43.4,75,33.02,43.41,67.75,52.25,43.2,=F4-F$2,=G4-G$2,=I4-A4,=J4-B4,DISH 1,=ABS(K4),=ABS(L4)
40,100,75,40.01,100,74.5,109.25,5,=F5-F$2,=G5-G$2,=I5-A5,=J5-B5,WELL 1,=ABS(K5),=ABS(L5)
459,194,0,459.01,193.99,494.25,203.75,42.5,=F6-F$2,=G6-G$2,=I6-A6,=J6-B6,STERILIZER,=ABS(K6),=ABS(L6)
140,60,75,140.02,59.98,174.75,69.25,35.7,=F7-F$2,=G7-G$2,=I7-A7,=J7-B7,DISH 2,=ABS(K7),=ABS(L7)
347,60,75,347.03,59.98,=B24+167,68.75,18,=F8-F$2,=G8-G$2,=I8-A8,=J8-B8,WELL 2,=ABS(K8),=ABS(L8)
459,194,0,459.01,193.99,494.25,203.75,22.3,=F9-F$2,=G9-G$2,=I9-A9,=J9-B9,STERILIZER,=ABS(K9),=ABS(L9)
250,60,75,250,59.98,=B24+70,69,28.5,=F10-F$2,=G10-G$2,=I10-A10,=J10-B10,DISH 3,=ABS(K10),=ABS(L10)
450,165,80,449.98,165.01,=2*B24+55.25,174.25,16.9,=F11-F$2,=G11-G$2,=I11-A11,=J11-B11,WELL 3,=ABS(K11),=ABS(L11)
459,194,0,459.01,193.99,=2*B24+64.5,201.75,8.9,=F12-F$2,=G12-G$2,=I12-A12,=J12-B12,STERILIZER,=ABS(K12),=ABS(L12)
133,186,75,132.98,185.99,167,194.75,36.2,=F13-F$2,=G13-G$2,=I13-A13,=J13-B13,DISH 4,=ABS(K13),=ABS(L13)
347,60,75,347.03,59.98,=B24+167.25,67.25,18,=F14-F$2,=G14-G$2,=I14-A14,=J14-B14,WELL 4,=ABS(K14),=ABS(L14)
459,194,0,459.01,193.99,=2*B24+64.5,201.75,21.9,=F15-F$2,=G15-G$2,=I15-A15,=J15-B15,STERILIZER,=ABS(K15),=ABS(L15)
240,186,75,239.98,185.99,=B24+60.25,194.75,29.6,=F16-F$2,=G16-G$2,=I16-A16,=J16-B16,DISH 5,=ABS(K16),=ABS(L16)
40,100,75,40.01,100,74.75,107.75,16.5,=F17-F$2,=G17-G$2,=I17-A17,=J17-B17,WELL 5,=ABS(K17),=ABS(L17)
459,194,0,459.01,193.99,=2*B24+64.5,201.75,42.3,=F18-F$2,=G18-G$2,=I18-A18,=J18-B18,STERILIZER,=ABS(K18),=ABS(L18)
347,186,80,347.03,185.99,=B24+166.75,193.75,22.3,=F19-F$2,=G19-G$2,=I19-A19,=J19-B19,DISH 6,=ABS(K19),=ABS(L19)
450,165,80,449.98,165.01,=2*B24+55.5,172.5,11.4,=F20-F$2,=G20-G$2,=I20-A20,=J20-B20,WELL 6,=ABS(K20),=ABS(L20)
459,194,0,459.01,193.99,=2*B24+64.25,202,16,=F21-F$2,=G21-G$2,=I21-A21,=J21-B21,STERILIZER,=ABS(K21),=ABS(L21)
,,,,,,,,,,,,,,
PAGE GAP,=$worst_sty.B13,,,,,,,,,,,,,
PAGE SIZE,=$worst_sty.B14,,,,,,,,,,,,,
